10	5	283
10	6	283
10	7	325
10	8	346
10	9	356
10	10	369
10	11	369
10	12	383
10	13	388
10	14	390
10	15	397
10	16	388
10	17	383
10	18	384
10	19	402
10	20	385
10	21	382
10	22	387
10	23	380
10	24	380
10	25	382
10	26	379
10	27	368
10	28	386
10	29	361
10	30	369
10	31	370
10	32	350
10	33	362
10	34	367
10	35	357
10	36	333
10	37	347
10	38	326
10	39	333
10	40	330
10	41	305
10	42	333
10	43	320
10	44	297
10	45	287
10	46	292
10	47	266
10	48	288
10	49	265
10	50	272
10	51	248
10	52	259
10	53	244
10	54	228
10	55	223
10	56	233
10	57	210
10	58	197
10	59	183
10	60	168
10	61	174
10	62	165
10	63	159
10	64	153
10	65	134
10	66	125
10	67	147
10	68	131
10	69	131
10	70	132
10	71	130
10	72	108
10	73	111
10	74	99
10	75	110
10	76	99
10	77	88
10	78	97
10	79	73
10	80	76
10	81	81
10	82	76
10	83	81
10	84	69
10	85	71
10	86	63
10	87	71
10	88	72
10	89	67
10	90	44
10	91	62
10	92	57
10	93	46
10	94	43
10	95	53
10	96	48
10	97	48
10	98	52
10	99	54
10	100	51
