5	5	237
5	10	300
5	25	375
5	100	109
5	21	373
5	83	153
5	99	114
5	41	352
5	63	231
5	29	399
5	46	332
5	92	120
5	43	340
5	40	347
5	6	204
5	52	312
5	20	386
5	98	112
5	89	128
5	47	332
5	7	237
5	96	121
5	69	200
5	31	379
5	14	320
5	80	141
5	78	164
5	18	351
5	70	205
5	9	278
5	59	268
5	16	373
5	36	365
5	76	183
5	26	392
5	12	321
5	66	211
5	51	306
5	62	243
5	13	335
5	67	236
5	33	375
5	85	141
5	68	208
5	22	387
5	15	346
5	57	286
5	90	119
5	95	117
5	8	283
5	38	372
5	82	164
5	71	187
5	39	379
5	17	381
5	61	257
5	32	376
5	50	310
5	56	271
5	75	202
5	37	373
5	79	163
5	48	339
5	5	234
5	10	322
5	25	344
